[12-18-2024][00.00.21] New Synch Log File Created!
[02:28:11] Player (Draco, 76561198302078718)(<7631.311035, 12.787427, 8534.870117>) requested data for lock!
[02:28:13] Player (Draco, 76561198302078718)(<7626.640137, 10.043794, 8539.677734>) requested data for lock!
[02:29:20] Player (Draco, 76561198302078718)(<7244.721680, 3.842066, 7828.232910>) requested data for lock!
[02:29:21] Player (Draco, 76561198302078718)(<7241.480957, 3.950430, 7825.958984>) requested data for lock!
[02:29:24] Player (Draco, 76561198302078718)(<7224.133301, 10.915239, 7848.691406>) requested data for lock!
[02:37:17] Player (Draco, 76561198302078718)(<5746.929199, 70.849586, 8893.775391>) requested data for lock!
[02:38:37] Player (Draco, 76561198302078718)(<6044.596680, 34.846451, 10431.335938>) requested data for lock!
[02:38:38] Player (Draco, 76561198302078718)(<6042.112793, 34.846451, 10435.593750>) requested data for lock!
[02:43:55] Player (Draco, 76561198302078718)(<4860.642578, 5.412148, 11283.935547>) requested data for lock!
[02:43:56] Player (Draco, 76561198302078718)(<4870.733887, 5.627413, 11321.759766>) requested data for lock!
[02:57:06] Player (Big_Steve, 76561198071307767)(<9481.520508, 95.982422, 10884.832031>) requested data for lock!
[03:06:55] Player (Draco, 76561199543393674)(<4870.733887, 5.627413, 11321.759766>) requested data for lock!
[03:06:55] Player (Draco, 76561199543393674)(<4860.642578, 5.412148, 11283.935547>) requested data for lock!
[03:16:29] Player (Draco, 76561198302078718)(<4870.733887, 5.627413, 11321.759766>) requested data for lock!
[03:16:29] Player (Draco, 76561198302078718)(<4860.642578, 5.412148, 11283.935547>) requested data for lock!
[03:24:06] Player (Draco, 76561198302078718)(<4870.733887, 5.627413, 11321.759766>) requested data for lock!
[03:24:06] Player (Draco, 76561198302078718)(<4860.642578, 5.412148, 11283.935547>) requested data for lock!
[03:39:51] Player (Big_Steve, 76561198071307767)(<9481.520508, 95.982422, 10884.832031>) requested data for lock!
[04:11:19] Player (Big_Steve, 76561198071307767)(<11127.880859, 106.702026, 9501.662109>) requested data for lock!
[04:22:27] Player (Big_Steve, 76561198071307767)(<11127.880859, 106.702026, 9501.662109>) requested data for lock!
[04:50:02] Player (Big_Steve, 76561198071307767)(<11127.880859, 106.702026, 9501.662109>) requested data for lock!
[04:53:21] Player (Big_Steve, 76561198071307767)(<9481.520508, 95.982422, 10884.832031>) requested data for lock!
[12-18-2024][05.00.21] Log file reloaded ( Server Restart )
[05:01:37] Player (Big_Steve, 76561198071307767)(<9481.520508, 95.982422, 10884.832031>) requested data for lock!
[05:19:52] Player (Big_Steve, 76561198071307767)(<9481.520508, 95.982422, 10884.832031>) requested data for lock!
[05:23:33] Player (Big_Steve, 76561198071307767)(<9481.520508, 95.982422, 10884.832031>) requested data for lock!
[05:29:29] Player (Big_Steve, 76561198071307767)(<9481.520508, 95.982422, 10884.832031>) requested data for lock!
[12-18-2024][09.00.20] Log file reloaded ( Server Restart )
[09:09:32] Player (luizredfield30, 76561199770341255)(<7334.615234, 81.730453, 12396.931641>) requested data for lock!
[09:09:32] Player (luizredfield30, 76561199770341255)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
[09:09:32] Player (luizredfield30, 76561199770341255)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[09:09:32] Player (luizredfield30, 76561199770341255)(<7334.545410, 81.730453, 12396.727539>) requested data for lock!
[09:09:32] Player (luizredfield30, 76561199770341255)(<7355.812500, 81.730453, 12388.950195>) requested data for lock!
[09:09:32] Player (luizredfield30, 76561199770341255)(<7334.590332, 81.730453, 12397.067383>) requested data for lock!
[09:09:32] Player (luizredfield30, 76561199770341255)(<7334.517578, 83.857002, 12397.041992>) requested data for lock!
[09:09:32] Player (luizredfield30, 76561199770341255)(<7355.248535, 81.730453, 12388.920898>) requested data for lock!
[09:09:32] Player (luizredfield30, 76561199770341255)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[09:09:32] Player (luizredfield30, 76561199770341255)(<7360.089844, 82.019249, 12389.973633>) requested data for lock!
[09:09:32] Player (luizredfield30, 76561199770341255)(<7355.454102, 81.730453, 12388.909180>) requested data for lock!
[09:29:00] Player (luizredfield30, 76561199770341255)(<7334.615234, 81.730453, 12396.931641>) requested data for lock!
[09:29:01] Player (luizredfield30, 76561199770341255)(<7334.545410, 81.730453, 12396.727539>) requested data for lock!
[09:29:01] Player (luizredfield30, 76561199770341255)(<7334.590332, 81.730453, 12397.067383>) requested data for lock!
[09:29:01] Player (luizredfield30, 76561199770341255)(<7334.517578, 83.857002, 12397.041992>) requested data for lock!
[09:29:41] Player (luizredfield30, 76561199770341255)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
[09:29:41] Player (luizredfield30, 76561199770341255)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[09:29:41] Player (luizredfield30, 76561199770341255)(<7355.812500, 81.730453, 12388.950195>) requested data for lock!
[09:29:42] Player (luizredfield30, 76561199770341255)(<7355.248535, 81.730453, 12388.920898>) requested data for lock!
[09:29:42] Player (luizredfield30, 76561199770341255)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[09:29:42] Player (luizredfield30, 76561199770341255)(<7360.089844, 82.019249, 12389.973633>) requested data for lock!
[09:29:42] Player (luizredfield30, 76561199770341255)(<7355.454102, 81.730453, 12388.909180>) requested data for lock!
[09:35:05] Player (Florre1984, 76561198271304685)(<11127.880859, 106.702026, 9501.662109>) requested data for lock!
